Datetime,Open,High,Low,Close,Volume
2022-08-16T00:00:00,678.0,680.9,670.4,673.85,2747244
2022-08-17T00:00:00,672.55,676.45,668.4,672.6,2349839
2022-08-18T00:00:00,670.0,677.75,668.9,673.4,1806855
2022-08-19T00:00:00,676.8,676.8,663.1,664.55,1961510
2022-08-22T00:00:00,660.9,663.1,641.0,642.95,2303053
2022-08-23T00:00:00,642.0,655.0,636.7,652.85,1751341
2022-08-24T00:00:00,654.5,657.3,647.0,651.5,1781643
2022-08-25T00:00:00,654.0,659.85,647.05,648.7,1525852
2022-08-26T00:00:00,656.0,670.55,654.0,667.0,3070661
2022-08-29T00:00:00,654.0,659.95,642.6,649.6,2728484
2022-08-30T00:00:00,652.85,668.0,651.5,666.9,2321586
2022-09-01T00:00:00,655.0,669.8,653.25,661.6,2472832
2022-09-02T00:00:00,660.0,669.0,654.0,661.4,2022058
2022-09-05T00:00:00,662.0,683.55,662.0,681.95,4930594
2022-09-06T00:00:00,682.0,687.0,678.5,684.55,3295941
2022-09-07T00:00:00,678.0,687.75,675.8,684.6,2310672
2022-09-08T00:00:00,687.0,691.1,679.3,685.35,1889770
2022-09-09T00:00:00,687.0,701.75,685.1,686.95,3953738
2022-09-12T00:00:00,687.3,694.4,681.45,686.55,2582240
2022-09-13T00:00:00,690.0,697.95,686.6,691.05,2094822
2022-09-14T00:00:00,685.0,701.8,682.0,692.85,2755630
2022-09-15T00:00:00,692.1,698.0,684.5,689.65,2887795
2022-09-16T09:15:00,685.0,694.5,679.0,683.6,4064621
